"year","dist","city","party","cand","vote"
2009,"北海道1区","札幌市中央区","日本共産党","松井ひであき",9167
2009,"北海道1区","札幌市中央区","無所属","たかもと和枝",1736
2009,"北海道1区","札幌市中央区","民主党","よこみち孝弘",64753
2009,"北海道1区","札幌市中央区","自由民主党","長谷川岳",43761
2009,"北海道1区","札幌市南区","日本共産党","松井ひであき",6547
2009,"北海道1区","札幌市南区","無所属","たかもと和枝",932
2009,"北海道1区","札幌市南区","民主党","よこみち孝弘",47885
2009,"北海道1区","札幌市南区","自由民主党","長谷川岳",36636
2009,"北海道1区","札幌市西区","日本共産党","松井ひであき",10089
2009,"北海道1区","札幌市西区","無所属","たかもと和枝",1415
2009,"北海道1区","札幌市西区","民主党","よこみち孝弘",70578
2009,"北海道1区","札幌市西区","自由民主党","長谷川岳",43946
2009,"北海道1区","北海道第1区合計","日本共産党","松井ひであき",25803
2009,"北海道1区","北海道第1区合計","無所属","たかもと和枝",4083
2009,"北海道1区","北海道第1区合計","民主党","よこみち孝弘",183216
2009,"北海道1区","北海道第1区合計","自由民主党","長谷川岳",124343
2009,"北海道2区","札幌市北区","自由民主党","よしかわ貴盛",48468
2009,"北海道2区","札幌市北区","民主党","三井わきお",88273
2009,"北海道2区","札幌市北区","無所属","山本もとみ",2081
2009,"北海道2区","札幌市北区","日本共産党","岡ちはる",13344
2009,"北海道2区","札幌市北区","社会民主党","本田ゆみ",7796
2009,"北海道2区","札幌市東区","自由民主党","よしかわ貴盛",45402
2009,"北海道2区","札幌市東区","民主党","三井わきお",76994
2009,"北海道2区","札幌市東区","無所属","山本もとみ",1701
2009,"北海道2区","札幌市東区","日本共産党","岡ちはる",14236
2009,"北海道2区","札幌市東区","社会民主党","本田ゆみ",6515
2009,"北海道2区","北海道第2区合計","自由民主党","よしかわ貴盛",93870
2009,"北海道2区","北海道第2区合計","民主党","三井わきお",165267
2009,"北海道2区","北海道第2区合計","無所属","山本もとみ",3782
2009,"北海道2区","北海道第2区合計","日本共産党","岡ちはる",27580
2009,"北海道2区","北海道第2区合計","社会民主党","本田ゆみ",14311
2009,"北海道3区","札幌市白石区","自由民主党","いしざき岳",42171
2009,"北海道3区","札幌市白石区","民主党","荒井さとし",69508
2009,"北海道3区","札幌市白石区","無所属","森山よしのり",2704
2009,"北海道3区","札幌市豊平区","自由民主党","いしざき岳",46276
2009,"北海道3区","札幌市豊平区","民主党","荒井さとし",73768
2009,"北海道3区","札幌市豊平区","無所属","森山よしのり",2654
2009,"北海道3区","札幌市清田区","自由民主党","いしざき岳",24397
2009,"北海道3区","札幌市清田区","民主党","荒井さとし",42805
2009,"北海道3区","札幌市清田区","無所属","森山よしのり",1365
2009,"北海道3区","北海道第3区合計","自由民主党","いしざき岳",112844
2009,"北海道3区","北海道第3区合計","民主党","荒井さとし",186081
2009,"北海道3区","北海道第3区合計","無所属","森山よしのり",6723
2009,"北海道4区","札幌市手稲区","民主党","はちろ吉雄",57660
2009,"北海道4区","札幌市手稲区","無所属","つるみ俊蔵",1491
2009,"北海道4区","札幌市手稲区","自由民主党","宮本とおる",23781
2009,"北海道4区","小樽市","民主党","はちろ吉雄",52625
2009,"北海道4区","小樽市","無所属","つるみ俊蔵",1436
2009,"北海道4区","小樽市","自由民主党","宮本とおる",27250
2009,"北海道4区","島牧村","民主党","はちろ吉雄",770
2009,"北海道4区","島牧村","無所属","つるみ俊蔵",27
2009,"北海道4区","島牧村","自由民主党","宮本とおる",505
2009,"北海道4区","寿都町","民主党","はちろ吉雄",1400
2009,"北海道4区","寿都町","無所属","つるみ俊蔵",37
2009,"北海道4区","寿都町","自由民主党","宮本とおる",818
2009,"北海道4区","黒松内町","民主党","はちろ吉雄",1394
2009,"北海道4区","黒松内町","無所属","つるみ俊蔵",48
2009,"北海道4区","黒松内町","自由民主党","宮本とおる",703
2009,"北海道4区","蘭越町","民主党","はちろ吉雄",2446
2009,"北海道4区","蘭越町","無所属","つるみ俊蔵",30
2009,"北海道4区","蘭越町","自由民主党","宮本とおる",1117
2009,"北海道4区","ﾆｾｺ町","民主党","はちろ吉雄",1974
2009,"北海道4区","ﾆｾｺ町","無所属","つるみ俊蔵",50
2009,"北海道4区","ﾆｾｺ町","自由民主党","宮本とおる",988
2009,"北海道4区","真狩村","民主党","はちろ吉雄",940
2009,"北海道4区","真狩村","無所属","つるみ俊蔵",15
2009,"北海道4区","真狩村","自由民主党","宮本とおる",614
2009,"北海道4区","留寿都村","民主党","はちろ吉雄",704
2009,"北海道4区","留寿都村","無所属","つるみ俊蔵",13
2009,"北海道4区","留寿都村","自由民主党","宮本とおる",359
2009,"北海道4区","喜茂別町","民主党","はちろ吉雄",1184
2009,"北海道4区","喜茂別町","無所属","つるみ俊蔵",23
2009,"北海道4区","喜茂別町","自由民主党","宮本とおる",505
2009,"北海道4区","京極町","民主党","はちろ吉雄",1281
2009,"北海道4区","京極町","無所属","つるみ俊蔵",27
2009,"北海道4区","京極町","自由民主党","宮本とおる",1007
2009,"北海道4区","倶知安町","民主党","はちろ吉雄",5658
2009,"北海道4区","倶知安町","無所属","つるみ俊蔵",142
